3686,41.8916,33.8054,34.4711,34.4586
3694,42.567,33.3967,34.5827,34.5867
3757,42.0884,33.3327,34.2836,34.1918
3758,43.2792,34.1556,34.3717,34.539
3786,42.2017,33.5889,34.5022,34.4087
3788,41.174,33.6883,34.4115,34.8169
3844,41.9848,33.6219,34.4409,34.2459
3845,42.1694,33.5337,34.4003,34.2985
3846,41.9987,33.5544,34.503,34.199
4003,41.7335,33.631,34.742,34.3981
4006,41.7701,34.2023,34.7084,34.3378
4344,44.7991,44.6051,45.789,40.7869
4345,40.9886,44.4918,45.2776,40.4745
4400,42.6468,43.7171,45.6128,41.5285
4722,45.2329,44.2488,45.8197,41.8266
4735,40.222,43.6835,45.7024,40.766
4926,43.8436,41.9532,45.1079,40.0333
4929,43.1422,41.9308,45.5272,39.6838
4985,29.7017,44.1583,43.3298,40.1106
5066,43.9449,43.0536,45.1652,40.8851
5068,41.7641,42.9946,44.2775,40.5797
5290,39.3202,41.1669,43.5768,40.1452
5292,41.2713,41.1351,44.1942,39.7291
5294,39.8745,43.8368,45.0898,39.5699
5423,41.9683,41.6663,43.3797,39.7572
5710,34.8068,31.0509,32.6698,31.1994
5722,35.6299,31.2496,33.3243,31.4905
5723,35.325,31.5418,33.1277,31.6325
5724,35.4363,31.3665,32.5444,31.4072
5726,36.0704,31.4154,33.2435,31.6556
5794,36.709,31.435,33.832,31.7258
5795,37.3922,31.2428,33.1488,31.5623
5976,35.1125,33.1162,30.2008,28.79
5979,27.54,25.405,27.6892,29.1246
5992,32.0319,33.0816,29.4594,28.904
5795,37.3922,31.2428,33.1488,31.5623
3573,38.8228,35.6525,35.164,31.7978
3573,38.8228,35.6525,35.164,31.7978
